Date,Views
2017-05,3
2017-06,566
2017-07,1951
2017-08,1216
2017-09,3517
2017-10,4075
2017-11,4076
2017-12,2533
2018-01,2230
2018-02,3209
2018-03,4221
2018-04,4070
2018-05,1740
2018-06,618
2018-07,1456
2018-08,479
2018-09,3093
2018-10,3294
2018-11,2891
2018-12,1879
2019-01,956
2019-02,2630
2019-03,3112
2019-04,3023
2019-05,1806
2019-06,907
2019-07,1599
2019-08,544
2019-09,3210
2019-10,3839
2019-11,3209
2019-12,2438
2020-01,1193
2020-02,3080
2020-03,1450
2020-04,1824
2020-05,1006
2020-06,621
2020-07,1560
2020-08,421
2020-09,2341
2020-10,2423
2020-11,2114
2020-12,1520
2021-01,1036
2021-02,2351
2021-03,1635
2021-04,1856
2021-05,950
2021-06,585
2021-07,1059
2021-08,664
2021-09,1320
2021-10,1322
2021-11,1013
2021-12,791
2022-01,506
2022-02,1141
2022-03,998
2022-04,1446
2022-05,528
2022-06,387
2022-07,884
2022-08,534
2022-09,1613
2022-10,1281
2022-11,939
2022-12,583
2023-01,928
2023-02,1189
2023-03,982
2023-04,1063
2023-05,20
