Date,Views
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,4
2014-08,21
2014-09,28
2014-10,15
2014-11,4
2014-12,8
2015-01,1
2015-02,9
2015-03,5
2015-04,9
2015-05,2
2015-06,2
2015-07,0
2015-08,10
2015-09,17
2015-10,6
2015-11,15
2015-12,4
2016-01,4
2016-02,9
2016-03,24
2016-04,11
2016-05,10
2016-06,5
2016-07,7
2016-08,11
2016-09,37
2016-10,21
2016-11,13
2016-12,1
2017-01,25
2017-02,21
2017-03,13
2017-04,17
2017-05,7
2017-06,10
2017-07,9
2017-08,96
2017-09,51
2017-10,18
2017-11,15
2017-12,5
2018-01,10
2018-02,15
2018-03,4
2018-04,9
2018-05,4
2018-06,15
2018-07,3
2018-08,44
2018-09,79
2018-10,34
2018-11,18
2018-12,11
2019-01,49
2019-02,6
2019-03,18
2019-04,25
2019-05,10
2019-06,5
2019-07,7
2019-08,8
2019-09,42
2019-10,31
2019-11,13
2019-12,6
2020-01,20
2020-02,16
2020-03,17
2020-04,14
2020-05,40
2020-06,15
2020-07,32
2020-08,15
2020-09,53
2020-10,14
2020-11,27
2020-12,9
2021-01,10
2021-02,8
2021-03,15
2021-04,11
2021-05,9
2021-06,15
2021-07,57
2021-08,10
2021-09,28
2021-10,38
2021-11,11
2021-12,15
2022-01,30
2022-02,43
2022-03,5
2022-04,24
2022-05,15
2022-06,12
2022-07,31
2022-08,20
2022-09,13
2022-10,12
2022-11,12
2022-12,16
2023-01,7
2023-02,5
2023-03,18
2023-04,32
2023-05,0
